demand_id,publication_id,title,abstract,classifications_cpc,judgment
INNOGET-2415,ES-2789123-B2,Membrana polimérica híbrida ionoconductora con sales de bis(fluorosulfonil)imida para baterías de estado sólido flexibles,Capa interfacial electrolítica polimérica compuesta por poli(fluoruro de vinilideno-co-hexafluoropropileno) y nanopartículas cerámicas de LLZO para celdas electroquímicas de alta densidad energética.,H01M10/0565; H01M10/052; C08L27/16; H01B1/12,
INNOGET-2415,ES-2754890-B2,Superficie de encimera y fregadero integrado fabricada con material compuesto polimérico antibacteriano e hidrofóbico,Encimera monobloque con fregadero embutido compuesta por matriz de resina acrílica reforzada con nanopartículas de sílice funcionalizadas con iones de plata y silanos hidrofóbicos.,A47J47/00; E03C1/18; C08L33/08; C08K3/36,
INNOGET-2415,ES-2684913-B1,"Fregadero modular con sistema integrado de recirculación, filtración por etapas y desinfección de aguas grises","Dispositivo sanitario de cocina que incorpora sensor ultrasónico de caudal, módulo de filtración electroquímica para reutilización de aguas grises en lavavajillas y control IoT de consumo hídrico.",E03C1/18; E03C1/04; C02F1/00; A47J47/00,
INNOGET-2415,ES-2798124-B1,Biopolímero termoplástico compostable derivado de almidón modificado y poli(succinato de butileno) para packaging sostenible,Mezcla polimérica biodegradable con compatibilizante de anhídrido maleico injertado para películas de envasado alimentario con alta barrera a vapor de agua y oxígeno.,C08L67/02; C08L3/02; B65D65/46; C08K5/09,
INNOGET-2415,ES-2812345-B1,Electrolito sólido cerámico nanoestructurado de tipo NASICON con alta conductividad iónica para celdas de ion-litio y litio-metal,Material electrolítico sólido inorgánico basado en Li1.5Al0.5Ti1.5(PO4)3 sintetizado por sol-gel con microestructura densificada para inhibición dendrítica a densidades de corriente superiores a 2 mA/cm2.,H01M10/0562; H01M10/0525; C01B25/45; H01M4/13,
INNOGET-2415,ES-2765431-B2,Dispositivo de monitorización no intrusiva de cargas eléctricas industriales (NILM) con desagregación armónica de alta frecuencia,Hardware y algoritmo embebido para identificación y desagregación de consumos de motores individuales a partir de la firma armónica transitoria en el cuadro general de distribución.,G01R31/00; G05B17/02; H02J3/00; G01R21/00,
INNOGET-2415,ES-2876540-B1,Sistema de gestión electrónica de baterías (BMS) con balanceo activo inductivo y estimación de estado de salud (SOH) por impedanciometría,Circuito integrado y metodología de cálculo de degradación electroquímica para paquetes de baterías de tracción en autobuses eléctricos y almacenamiento estacionario.,H01M10/42; H02J7/00; G01R31/382; B60L58/12,
INNOGET-2415,ES-2715482-B2,Procedimiento de microencapsulación de fragancias y agentes bioactivos estables en formulaciones detergentes acuosas,Método para encapsular aceites esenciales y fragancias en matrices poliméricas biocompatibles de alginato-quitosano para liberación prolongada durante el ciclo de aclarado textil.,C11D3/50; B01J13/02; C11D3/22,
INNOGET-2415,ES-2739812-B2,Procedimiento de mecanizado de ultraprecisión con recubrimiento autolubricante de diamante nanocristalino en herramientas de microdecoletaje,Método para torneado de cilindros micrométricos en aleaciones de baja ductilidad empleando fresas recubiertas de CVD nanocristalino dopado con boro para evacuación rápida de viruta.,B23B1/00; B23B27/14; C23C16/27; C22C9/00,
INNOGET-2415,ES-2634129-B1,Composición desinfectante y detergente de superficies duras basada en biosurfactantes de origen microbiano,Formulación para limpieza industrial y doméstica conteniendo ramnolípidos y soforolípidos producidos por fermentación bacteriana con alta actividad antimicrobiana a pH neutro.,C11D1/66; C11D3/48; A01N63/00,
